activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
128,not_started,149,159,10,10,5,0,780.0,0.0
107,not_started,151,160,9,10,5,1,540.0,540.0
105,not_started,151,167,16,20,10,4,540.0,2160.0
106,not_started,152,167,15,15,7,0,720.0,0.0
117,not_started,154,164,10,10,5,0,780.0,0.0
4,not_started,155,157,2,2,1,0,1245.0,0.0
103,not_started,156,166,10,10,5,0,600.0,0.0
104,not_started,156,166,10,10,5,0,540.0,0.0
130,not_started,156,176,20,20,10,0,780.0,0.0
5,not_started,157,159,2,2,1,0,1284.0,0.0
124,not_started,157,167,10,10,5,0,780.0,0.0
108,not_started,160,170,10,10,5,0,720.0,0.0
134,not_started,167,169,2,4,2,2,360.0,720.0
135,not_started,169,170,1,1,0,0,1020.0,0.0
137,not_started,169,170,1,3,1,2,960.0,1920.0
138,not_started,170,170,0,1,0,1,1080.0,1080.0
139,not_started,170,170,0,1,0,1,1080.0,1080.0
140,not_started,170,170,0,1,0,1,1080.0,1080.0
141,not_started,170,175,5,10,5,5,673.2,3366.0
142,not_started,175,176,1,2,1,1,1140.0,1140.0
143,not_started,175,176,1,1,0,0,1140.0,0.0
144,not_started,176,176,0,1,0,1,1128.6,1128.6
