c_early,makespan,total_cost
0,186.8749757630728,597701.7356864763
0,191.15614533780038,589039.45792322
0,198.25992041593446,575349.8753231247
0,190.84423692627055,589770.6425717004
0,190.85249040259896,589756.9069337433
0,237.61181761926167,540686.6603459227
0,213.5951932204585,558056.0180420843
0,237.8558284415154,540497.5971279115
0,189.508866256789,590953.528082038
0,192.46835559026516,586857.577896496
0,208.15134853996506,562899.8909478029
0,214.49306776829488,557353.7417911481
0,186.94830245234886,597641.7951740779
0,199.38529881511974,573778.3030697752
0,192.4774020304935,586854.5521797918
0,196.1459352609666,578781.4855640252
0,202.3532501260339,569878.1977104812
0,186.90060157410196,597696.9791454482
0,256.336307031981,533792.8202681355
0,199.7340110058155,573102.6876105529
0,198.25508013013314,575425.6923682697
0,204.7899976742337,566687.9329821612
0,208.50470332511168,562595.4280649123
0,214.416530365871,557367.8643781147
0,190.12192979228433,590832.7646054177
0,204.82095384534549,566652.2803356897
0,225.1906351168856,548164.906067931
0,213.64755828441903,558033.8801071222
0,203.278302646567,568418.6589924768
0,213.3272364839463,558263.1088848833
0,199.13527356029718,574144.145038612
0,237.86113964795467,540496.0010807746
0,199.04567202517788,574182.0023264321
0,233.19705353599016,543113.4541044268
0,201.769814051745,570614.996974305
0,228.88482183432004,546017.2484343469
0,236.6389001998555,541176.3891539411
0,204.79522335645828,566684.5153991162
0,194.64607936790975,581457.3362257465
0,190.81663908119313,589794.6728838851
0,204.94493978803317,566529.483348067
0,222.99230975284428,550156.5740689086
0,256.0371156926543,533825.6877586513
0,208.58648720046284,562332.5207792133
0,237.80383884957453,540540.0902455626
0,195.46991266529034,580208.0206858808
0,194.2517523160891,583484.9674291342
0,203.8966113933341,567541.8688487108
0,256.21155909104766,533806.5100929446
0,256.2926444471614,533795.0657891002
0,205.9712175930454,565253.5693150032
0,204.86765514234668,566531.9316551759
0,224.4569648096865,548825.7254627596
0,224.71603642808665,548602.1997567271
0,210.1998437309928,560916.6345102838
0,204.7618533857692,566862.2488335101
0,186.32338824004728,599365.5661892183
0,204.99906277044676,566393.9080912026
0,204.8268833931002,566647.0353002984
0,202.67319635352194,569248.4813395787
0,258.9863060402405,532862.2863849007
0,208.01137595137365,563114.5845976255
0,232.80839140262935,543286.390130148
0,197.47919547574045,576497.3659361191
0,207.66273381369857,563340.3500155455
0,198.32930888546218,575206.790476922
0,230.8960560364113,544874.2144581191
0,218.17231867417743,553869.9762938531
0,186.42760357787216,599285.7254316891
0,190.9371928640111,589340.5531648704
0,196.1678459325842,578769.8580029354
0,198.24211004092825,575426.1012847445
0,224.91236767333763,548396.8841364121
0,209.97972554747852,561170.2351525783
0,222.16459880649236,551140.520310302
0,203.8317666185255,567963.3289350553
0,213.50405538547824,558245.1217836593
0,219.53378799698004,553207.5704617151
0,232.61211280759517,543597.0350638411
0,259.23152380635037,532760.1236297673
0,208.1427027457999,562937.722243184
0,187.60060468587866,595635.6982848174
0,230.9125619695189,544825.9103665977
0,203.22169111790885,568879.6959786431
0,201.7966645337068,570549.1805970613
0,205.38397757230075,566050.1487317823
0,208.54610157734103,562552.5100007025
0,199.86293424625262,572729.5495688707
0,205.8378308552426,565257.4124900065
0,206.07055424808564,564902.469830326
0,207.44915249631296,563522.0079658045
0,218.17318949759849,553869.7042302319
0,230.80177173178015,544877.7170378393
0,201.6102416634814,570762.8962421555
0,186.73032496592262,598011.0972237843
0,198.8760487997264,574349.7686862266
0,220.3196982345322,552565.7136769323
0,246.3389291104568,536426.6609779788
0,208.47980751390605,562608.2944572087
0,203.63394219951772,568317.9884194988
0,201.47965674892342,570919.3749923944
0,231.14304585756727,544557.7610977264
0,192.38860458456517,586930.1368852614
0,188.09742263987837,594930.6071865445
0,191.26594214736673,588499.1818847405
0,186.23713195245406,599792.1034033534
0,222.15833756706868,551155.9724945633
0,189.74959516114734,590875.319190922
