c_late,c_early,makespan,total_cost
0.0,0.0,444,506209.991
0.0,555.5555555555555,254,496770.24388888886
0.0,1111.111111111111,220,455198.14300000004
0.0,1666.6666666666665,210,401279.8103333333
0.0,2222.222222222222,208,344663.2803333334
0.0,2777.777777777778,206,287219.0741111111
0.0,3333.333333333333,206,229441.29633333336
0.0,3888.8888888888887,206,171663.51855555555
0.0,4444.444444444444,206,113885.7407777778
0.0,5000.0,206,56107.96299999999
555.5555555555555,0.0,310,510639.548
555.5555555555555,555.5555555555555,254,496770.24388888886
555.5555555555555,1111.111111111111,220,455198.14300000004
555.5555555555555,1666.6666666666665,210,401279.8103333333
555.5555555555555,2222.222222222222,208,344663.2803333334
555.5555555555555,2777.777777777778,206,287219.0741111111
555.5555555555555,3333.333333333333,206,229441.29633333336
555.5555555555555,3888.8888888888887,206,171663.51855555555
555.5555555555555,4444.444444444444,206,113885.7407777778
555.5555555555555,5000.0,206,56107.96299999999
1111.111111111111,0.0,310,510639.548
1111.111111111111,555.5555555555555,254,496770.24388888886
1111.111111111111,1111.111111111111,220,455198.14300000004
1111.111111111111,1666.6666666666665,210,401279.8103333333
1111.111111111111,2222.222222222222,208,344663.2803333334
1111.111111111111,2777.777777777778,206,287219.0741111111
1111.111111111111,3333.333333333333,206,229441.29633333336
1111.111111111111,3888.8888888888887,206,171663.51855555555
1111.111111111111,4444.444444444444,206,113885.7407777778
1111.111111111111,5000.0,206,56107.96299999999
1666.6666666666665,0.0,310,510639.548
1666.6666666666665,555.5555555555555,254,496770.24388888886
1666.6666666666665,1111.111111111111,220,455198.14300000004
1666.6666666666665,1666.6666666666665,210,401279.8103333333
1666.6666666666665,2222.222222222222,208,344663.2803333334
1666.6666666666665,2777.777777777778,206,287219.0741111111
1666.6666666666665,3333.333333333333,206,229441.29633333336
1666.6666666666665,3888.8888888888887,206,171663.51855555555
1666.6666666666665,4444.444444444444,206,113885.7407777778
1666.6666666666665,5000.0,206,56107.96299999999
2222.222222222222,0.0,310,510639.548
2222.222222222222,555.5555555555555,254,496770.24388888886
2222.222222222222,1111.111111111111,220,455198.14300000004
2222.222222222222,1666.6666666666665,210,401279.8103333333
2222.222222222222,2222.222222222222,208,344663.2803333334
2222.222222222222,2777.777777777778,206,287219.0741111111
2222.222222222222,3333.333333333333,206,229441.29633333336
2222.222222222222,3888.8888888888887,206,171663.51855555555
2222.222222222222,4444.444444444444,206,113885.7407777778
2222.222222222222,5000.0,206,56107.96299999999
2777.777777777778,0.0,310,510639.548
2777.777777777778,555.5555555555555,254,496770.24388888886
2777.777777777778,1111.111111111111,220,455198.14300000004
2777.777777777778,1666.6666666666665,210,401279.8103333333
2777.777777777778,2222.222222222222,208,344663.2803333334
2777.777777777778,2777.777777777778,206,287219.0741111111
2777.777777777778,3333.333333333333,206,229441.29633333336
2777.777777777778,3888.8888888888887,206,171663.51855555555
2777.777777777778,4444.444444444444,206,113885.7407777778
2777.777777777778,5000.0,206,56107.96299999999
3333.333333333333,0.0,310,510639.548
3333.333333333333,555.5555555555555,254,496770.24388888886
3333.333333333333,1111.111111111111,220,455198.14300000004
3333.333333333333,1666.6666666666665,210,401279.8103333333
3333.333333333333,2222.222222222222,208,344663.2803333334
3333.333333333333,2777.777777777778,206,287219.0741111111
3333.333333333333,3333.333333333333,206,229441.29633333336
3333.333333333333,3888.8888888888887,206,171663.51855555555
3333.333333333333,4444.444444444444,206,113885.7407777778
3333.333333333333,5000.0,206,56107.96299999999
3888.8888888888887,0.0,310,510639.548
3888.8888888888887,555.5555555555555,254,496770.24388888886
3888.8888888888887,1111.111111111111,220,455198.14300000004
3888.8888888888887,1666.6666666666665,210,401279.8103333333
3888.8888888888887,2222.222222222222,208,344663.2803333334
3888.8888888888887,2777.777777777778,206,287219.0741111111
3888.8888888888887,3333.333333333333,206,229441.29633333336
3888.8888888888887,3888.8888888888887,206,171663.51855555555
3888.8888888888887,4444.444444444444,206,113885.7407777778
3888.8888888888887,5000.0,206,56107.96299999999
4444.444444444444,0.0,310,510639.548
4444.444444444444,555.5555555555555,254,496770.24388888886
4444.444444444444,1111.111111111111,220,455198.14300000004
4444.444444444444,1666.6666666666665,210,401279.8103333333
4444.444444444444,2222.222222222222,208,344663.2803333334
4444.444444444444,2777.777777777778,206,287219.0741111111
4444.444444444444,3333.333333333333,206,229441.29633333336
4444.444444444444,3888.8888888888887,206,171663.51855555555
4444.444444444444,4444.444444444444,206,113885.7407777778
4444.444444444444,5000.0,206,56107.96299999999
5000.0,0.0,310,510639.548
5000.0,555.5555555555555,254,496770.24388888886
5000.0,1111.111111111111,220,455198.14300000004
5000.0,1666.6666666666665,210,401279.8103333333
5000.0,2222.222222222222,208,344663.2803333334
5000.0,2777.777777777778,206,287219.0741111111
5000.0,3333.333333333333,206,229441.29633333336
5000.0,3888.8888888888887,206,171663.51855555555
5000.0,4444.444444444444,206,113885.7407777778
5000.0,5000.0,206,56107.96299999999
