c_early,makespan,total_cost
0,214.11897248291746,659524.6887845926
0,216.49329779429561,655690.4791190749
0,214.16887435094333,658174.4078824415
0,216.84686174366618,654544.3760188841
0,223.440246265555,646253.445954815
0,225.79228959797348,645671.1474121537
0,233.6947243596367,641378.6435372224
0,221.24504702270013,650112.8349107085
0,214.09860462485014,659535.7580126661
0,231.91875372201443,641783.854025298
0,226.56775931388344,645501.1041562429
0,214.23958707302307,657788.3356934832
0,221.6652528900878,646632.8472930178
0,217.14010098271734,651182.3828071543
0,216.02737493296053,655843.7279246813
0,214.96212956899078,656371.3919812976
0,229.5364311464453,642911.226726893
0,216.670080269894,655580.1475476336
2000,214.11897248291746,467762.63375042746
2000,216.49329779429561,468677.0747076661
2000,214.16887435094333,466512.15658432816
2000,216.84686174366618,468238.0995062165
2000,223.440246265555,473133.938485925
2000,225.79228959797348,477255.7266081006
2000,233.6947243596367,488768.0922564958
2000,221.24504702270013,472602.92895610875
2000,214.09860462485014,467732.96726236644
2000,231.91875372201443,485621.3614693269
2000,226.56775931388344,478636.6227840098
2000,214.23958707302307,466267.5098395294
2000,221.6652528900878,469963.35307319334
2000,217.14010098271734,465462.58477258903
2000,216.02737493296053,467898.4777906023
2000,214.96212956899078,466295.6511192792
2000,229.5364311464453,481984.08901978354
2000,216.670080269894,468920.3080874216
4000,214.11897248291746,276000.57871626236
4000,216.49329779429561,281663.67029625736
4000,214.16887435094333,274849.90528621484
4000,216.84686174366618,281931.8229935489
4000,223.440246265555,300014.43101703504
4000,225.79228959797348,308840.30580404756
4000,233.6947243596367,336157.54097576917
4000,221.24504702270013,295093.023001509
4000,214.09860462485014,275930.1765120667
4000,231.91875372201443,329458.86891335575
4000,226.56775931388344,311772.1414117767
4000,214.23958707302307,274746.6839855755
4000,221.6652528900878,293293.85885336896
4000,217.14010098271734,279742.7867380237
4000,216.02737493296053,279953.22765652335
4000,214.96212956899078,276219.9102572607
4000,229.5364311464453,321056.95131267415
4000,216.670080269894,282260.46862720954
