c_late,makespan,total_cost
2000,217.6418925490212,480994.46089437534
2000,217.66326262191197,480320.92934364575
2000,225.1754765496234,483245.86181941023
2000,221.5675653327225,480592.26914384356
2000,217.03719467887277,479819.36470627564
2000,225.31748972769728,483251.2757553903
2000,229.46272005511224,486731.35637926887
2000,234.86860416090158,491712.382021397
2000,240.1160555078794,498491.39396521146
2000,229.29292005494486,486691.11659550725
2000,213.8665928859759,478259.5442946183
2000,218.07771157710775,476581.1038833502
2000,215.22029227737795,478578.22546751646
2000,226.89281327534178,483958.6634822268
2000,230.9496961106063,484452.9450457955
2000,213.84259236693734,478247.6002240448
2000,216.6309219266196,480469.2944095833
2000,241.49143902317255,497755.7227530369
2000,222.65920682273534,480561.5888000079
2000,219.6817679385241,477664.75490237464
2000,223.12396961853324,479628.1888994476
5000,217.6418925490212,480994.46089437534
5000,217.66326262191197,480320.92934364575
5000,225.1754765496234,483245.86181941023
5000,221.5675653327225,480592.26914384356
5000,217.03719467887277,479819.36470627564
5000,225.31748972769728,483251.2757553903
5000,229.46272005511224,486731.35637926887
5000,234.86860416090158,491712.382021397
5000,240.1160555078794,498491.39396521146
5000,229.29292005494486,486691.11659550725
5000,213.8665928859759,478259.5442946183
5000,218.07771157710775,476581.1038833502
5000,215.22029227737795,478578.22546751646
5000,226.89281327534178,483958.6634822268
5000,230.9496961106063,484452.9450457955
5000,213.84259236693734,478247.6002240448
5000,216.6309219266196,480469.2944095833
5000,241.49143902317255,497755.7227530369
5000,222.65920682273534,480561.5888000079
5000,219.6817679385241,477664.75490237464
5000,223.12396961853324,479628.1888994476
8000,217.6418925490212,480994.46089437534
8000,217.66326262191197,480320.92934364575
8000,225.1754765496234,483245.86181941023
8000,221.5675653327225,480592.26914384356
8000,217.03719467887277,479819.36470627564
8000,225.31748972769728,483251.2757553903
8000,229.46272005511224,486731.35637926887
8000,234.86860416090158,491712.382021397
8000,240.1160555078794,498491.39396521146
8000,229.29292005494486,486691.11659550725
8000,213.8665928859759,478259.5442946183
8000,218.07771157710775,476581.1038833502
8000,215.22029227737795,478578.22546751646
8000,226.89281327534178,483958.6634822268
8000,230.9496961106063,484452.9450457955
8000,213.84259236693734,478247.6002240448
8000,216.6309219266196,480469.2944095833
8000,241.49143902317255,497755.7227530369
8000,222.65920682273534,480561.5888000079
8000,219.6817679385241,477664.75490237464
8000,223.12396961853324,479628.1888994476
