c_late,c_early,makespan,total_crash_cost,penalty_applied,bonus_applied,net_cost,status
0.0,0.0,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,2.0202020202020203,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,4.040404040404041,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,6.0606060606060606,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,8.080808080808081,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,10.101010101010102,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,12.121212121212121,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,14.141414141414142,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,16.161616161616163,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,18.181818181818183,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,20.202020202020204,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,22.222222222222225,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,24.242424242424242,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,26.262626262626263,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,28.282828282828284,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,30.303030303030305,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,32.323232323232325,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,34.343434343434346,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,36.36363636363637,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,38.38383838383839,250,0.0,0.0,0.0,0.0,OPTIMAL
1.5151515151515151,0.0,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,2.0202020202020203,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,4.040404040404041,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,6.0606060606060606,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,8.080808080808081,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,10.101010101010102,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,12.121212121212121,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,14.141414141414142,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,16.161616161616163,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,18.181818181818183,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,20.202020202020204,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,22.222222222222225,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,24.242424242424242,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,26.262626262626263,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,28.282828282828284,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,30.303030303030305,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,32.323232323232325,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,34.343434343434346,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,36.36363636363637,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
1.5151515151515151,38.38383838383839,249,0.0,9.09090909090909,0.0,9.09090909090909,OPTIMAL
0.0,40.40404040404041,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,42.42424242424243,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,44.44444444444445,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,46.46464646464647,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,48.484848484848484,250,0.0,0.0,0.0,0.0,OPTIMAL
0.0,50.505050505050505,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,52.525252525252526,390,0.0,0.0,0.0,0.0,OPTIMAL
0.0,54.54545454545455,390,0.0,0.0,0.0,0.0,OPTIMAL
