alpha,makespan,labor_cost,total_cost
0.3,295.14629841161127,516874.00741787616,516874.00741787616
0.3,249.67186098050416,584699.2558600269,584699.2558600269
0.3,292.44815967378776,518865.18855461676,518865.18855461676
0.3,269.43570176507984,547716.368944549,547716.368944549
0.3,250.65529069928095,581953.0036183081,581953.0036183081
0.3,262.228435319164,557848.8907579395,557848.8907579395
0.3,245.9019993945492,595919.2596570575,595919.2596570575
0.3,300.3413662031861,513599.65495624824,513599.65495624824
0.3,309.9855279079602,508399.3064569572,508399.3064569572
0.3,269.58469622017236,547664.7173738994,547664.7173738994
0.3,243.38380341063328,605651.7003494585,605651.7003494585
0.3,309.54867388738114,508801.60246030765,508801.60246030765
0.3,254.58493780875324,572241.4647576746,572241.4647576746
0.3,256.7402511307686,567758.1835665908,567758.1835665908
0.3,252.57705164680718,577245.669560002,577245.669560002
0.3,306.74563300140625,510202.305031419,510202.305031419
0.3,251.62031042797517,579442.7076535482,579442.7076535482
0.3,249.3962397993977,585069.6283040249,585069.6283040249
0.3,294.5555595059853,517456.0282645179,517456.0282645179
0.3,305.90222505584586,510535.5187501512,510535.5187501512
0.3,284.98066087536256,526753.9429068009,526753.9429068009
0.3,246.7103758225846,593367.9287133086,593367.9287133086
0.3,265.9660797306617,552515.37343065,552515.37343065
0.3,307.5965166776922,509762.7907944124,509762.7907944124
0.3,267.30987376922155,550483.47745579,550483.47745579
0.3,250.54457177955206,581971.2717901707,581971.2717901707
0.3,292.02077188142863,519222.3131145127,519222.3131145127
0.3,246.82143122182023,593308.5003948567,593308.5003948567
0.3,246.45388650956215,593922.135103452,593922.135103452
0.3,249.60829219787954,584902.7263608887,584902.7263608887
0.3,295.1334073622707,516881.0484750053,516881.0484750053
0.3,257.9618301132997,565403.6748650242,565403.6748650242
0.3,280.62461716745753,531773.3589611639,531773.3589611639
0.3,278.4544714874599,534420.9417662392,534420.9417662392
0.3,251.70796155800298,579233.3689721338,579233.3689721338
0.3,287.3601935821695,523918.35028778436,523918.35028778436
0.3,261.6719646554419,559319.8839130662,559319.8839130662
0.3,261.90301386208523,558704.5226707764,558704.5226707764
0.3,302.9652878581829,512058.55235596065,512058.55235596065
0.3,276.8499209681662,536430.904893345,536430.904893345
0.3,264.3417184603328,555147.3573148035,555147.3573148035
0.3,258.99709724697306,563542.9862772292,563542.9862772292
0.3,269.7880462972978,546886.0978371995,546886.0978371995
0.3,250.30029254697604,582638.6602651307,582638.6602651307
0.3,288.801895137382,522283.96808118344,522283.96808118344
0.3,297.8432683140536,515069.89895091666,515069.89895091666
0.3,255.96404240647163,569246.9686509096,569246.9686509096
0.3,303.451544816004,511861.0430024811,511861.0430024811
0.3,296.8432083734356,515521.8187920489,515521.8187920489
0.3,302.0588165953755,512609.58559296525,512609.58559296525
0.3,251.03471294111748,580423.7883530846,580423.7883530846
0.3,251.8809633129792,578752.7697462761,578752.7697462761
0.3,293.2982963947737,518344.15789532056,518344.15789532056
0.3,294.37995928367,517504.4584746491,517504.4584746491
0.3,277.6143326896692,535439.8058044208,535439.8058044208
0.3,274.6919114698029,539075.8349352845,539075.8349352845
0.3,245.0393292850426,599494.132465798,599494.132465798
0.3,291.1908986842223,519796.7023938602,519796.7023938602
0.3,260.5906854420687,560678.240866422,560678.240866422
0.3,269.33855405506375,548088.1561163518,548088.1561163518
0.3,249.16054145201468,585659.8580882899,585659.8580882899
0.3,306.2984563915749,510326.4343879329,510326.4343879329
0.3,282.80159619107394,529240.2995677718,529240.2995677718
0.3,292.40709122147604,518880.61867031106,518880.61867031106
0.3,297.2989590092175,515364.83632852114,515364.83632852114
0.3,254.5693146709297,572772.91352066,572772.91352066
0.3,247.9518707260841,589539.2823153567,589539.2823153567
0.3,305.87631960757966,510559.597593867,510559.597593867
0.3,248.89378182653613,586676.6619010665,586676.6619010665
0.3,248.8472041839728,587005.687948319,587005.687948319
0.3,310.9333425297276,507916.6918520349,507916.6918520349
0.3,305.23031438211456,510984.0769586463,510984.0769586463
0.3,305.35966760551094,510831.2444016264,510831.2444016264
0.3,244.24536256367847,602182.7776546689,602182.7776546689
0.3,311.09651347440825,507782.5908269709,507782.5908269709
0.3,255.06243808327667,571392.3915328425,571392.3915328425
0.3,296.4088189417524,515931.65682933456,515931.65682933456
0.3,245.93788140097237,595610.1478728997,595610.1478728997
0.3,257.1416566373364,567180.5990347855,567180.5990347855
0.3,303.71721764491843,511637.6853696973,511637.6853696973
0.3,270.7120981155477,545220.5989581534,545220.5989581534
0.3,285.5490712699052,525847.1577555293,525847.1577555293
0.3,313.6303501416083,506614.9464045953,506614.9464045953
0.3,256.57401675160935,568094.5382811546,568094.5382811546
0.3,280.62461716745753,531773.3589611639,531773.3589611639
0.3,242.18380145806665,611738.6956734804,611738.6956734804
0.3,249.18468827156119,585419.2085893492,585419.2085893492
0.3,262.52021035695765,557420.7545454402,557420.7545454402
0.3,293.73292223006285,518041.8869194279,518041.8869194279
0.3,300.23496721839626,513824.7063612116,513824.7063612116
0.3,283.25410107465166,528589.4693170874,528589.4693170874
0.3,267.51420047353696,549622.6659860648,549622.6659860648
0.3,270.3337148433086,545920.1100122073,545920.1100122073
0.3,306.4306563314676,510288.9722191329,510288.9722191329
0.3,277.6602865011817,535360.1535531085,535360.1535531085
0.3,274.51803755056596,539282.1092283471,539282.1092283471
0.3,276.3396371784332,536876.8872590605,536876.8872590605
0.3,279.3266325279646,533328.4754150347,533328.4754150347
